timestamp	name	view	init	seed	epochs_max	patience	best_epoch	stopped_epoch	n_train_images	samples_seen	extra	best_model	job
2026-08-27 00:35	t1_nano_k0_t024_s1_n_s2	t1_rfdetr_seg_nano_k0_t0.24_s1	yolo26n.pt	2	60	15	2	17	191616	3257472	{}	<cluster-home>	3177884
2026-08-27 03:07	t1_nano_k025_t024_s1_noneg_n_s3	t1_rfdetr_seg_nano_k0.25_t0.24_s1_noneg	yolo26n.pt	3	60	15	3	18	136813	2462634	{}	<cluster-home>	3178449
2026-08-27 06:52	t1_nano_k025_t024_s1_s_s3	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26s.pt	3	60	15	3	18	191258	3442644	{}	train/edge_distill/best_models/t1_nano_k025_t024_s1_s_s3_best_e3.pt
2026-08-27 08:15	t1_nano_k0_t024_s1_n_s3	t1_rfdetr_seg_nano_k0_t0.24_s1	yolo26n.pt	3	60	15	2	17	191616	3257472	{}	<cluster-home>	3178636
2026-08-27 14:19	h50_sparse_n_s2	h50_sparse	yolo26n.pt	2	300	50	24	74	19032	1408368	{}	<cluster-home>	3180410
2026-08-27 14:25	h50_sparse_n_s1	h50_sparse	yolo26n.pt	1	300	50	35	85	19032	1617720	{}	<cluster-home>	3180388
2026-08-27 15:50	h50_sparse_n_s3	h50_sparse	yolo26n.pt	3	300	50	31	81	19032	1541592	{}	<cluster-home>	3180748
2026-08-27 16:00	h50_interp_n_s1	h50_interp	yolo26n.pt	1	60	15	6	21	115624	2428104	{}	<cluster-home>	3180389
2026-08-27 16:14	h50_interp_n_s2	h50_interp	yolo26n.pt	2	60	15	4	19	115624	2196856	{}	<cluster-home>	3180583
2026-08-27 17:02	h50_interp_n_s3	h50_interp	yolo26n.pt	3	60	15	6	21	115624	2428104	{}	<cluster-home>	3180816
2026-08-27 18:24	h50_sparse_s_s1	h50_sparse	yolo26s.pt	1	300	50	9	59	19032	1122888	{}	<cluster-home>	3181470
2026-08-27 20:11	h50_interp_s_s1	h50_interp	yolo26s.pt	1	60	15	2	17	115624	1965608	{}	<cluster-home>	3181471
2026-08-27 20:46	h50_interp_negall_n_s2	h50_interp_negall	yolo26n.pt	2	60	15	3	18	147793	2660274	{}	<cluster-home>	3181609
2026-08-27 21:04	h50_interp_negall_n_s3	h50_interp_negall	yolo26n.pt	3	60	15	3	18	147793	2660274	{}	<cluster-home>	3181610
2026-08-27 21:08	h50_interp_negall_n_s1	h50_interp_negall	yolo26n.pt	1	60	15	3	18	147793	2660274	{}	<cluster-home>	3181608
2026-08-27 23:26	interp_gt_a2_n_s1	interp_gt_a2	yolo26n.pt	1	60	15	2	17	201691	3428747	{}	<cluster-home>	3181764
2026-08-27 23:46	h50_sparse_s_s2	h50_sparse	yolo26s.pt	2	300	50	15	65	19032	1237080	{}	<cluster-home>	3182780
2026-08-27 23:52	interp_gt_a8_n_s1	interp_gt_a8	yolo26n.pt	1	60	15	2	17	200052	3400884	{}	<cluster-home>	3181910
2026-08-28 00:26	interp_gt_a16_n_s1	interp_gt_a16	yolo26n.pt	1	60	15	3	18	197718	3558924	{}	<cluster-home>	3182011
2026-08-28 00:27	interp_gt_a4_n_s1	interp_gt_a4	yolo26n.pt	1	60	15	3	18	201162	3620916	{}	<cluster-home>	3181765
2026-08-28 01:51	h50_interp_s_s2	h50_interp	yolo26s.pt	2	60	15	3	18	115624	2081232	{}	<cluster-home>	3182781
2026-08-28 13:19	h50_teacher_n_s1	h50_teacher	yolo26n.pt	1	60	15	2	17	191112	3248904	{}	<cluster-home>	3184509
2026-08-28 13:38	h50_teacher_dropempty_n_s1	h50_teacher_dropempty	yolo26n.pt	1	60	15	3	18	152684	2748312	{}	<cluster-home>	3184532
2026-08-28 13:40	h50_teacher_n_s2	h50_teacher	yolo26n.pt	2	60	15	2	17	191112	3248904	{}	<cluster-home>	3184510
2026-08-28 14:56	h50_teacher_n_s3	h50_teacher	yolo26n.pt	3	60	15	3	18	191112	3440016	{}	<cluster-home>	3184511
2026-09-05 03:17	h50_teacher_cme_n_s1	h50_teacher	yolo26n.pt	1	46	15	3	18	191112	3440016	{}	<cluster-home>	3221350
2026-09-15 21:34	t1_nano_k025_t024_s4_s_s2	t1_rfdetr_seg_nano_k0.25_t0.24_s4	yolo26s.pt	2	60	15	2	17	69609	1183353	{}	<cluster-home>	3296350
2026-09-15 21:45	t1_nano_k025_t024_s4_s_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s4	yolo26s.pt	1	60	15	2	17	69609	1183353	{}	<cluster-home>	3296349
2026-09-15 22:13	t1_nano_k025_t024_s4_s_s3	t1_rfdetr_seg_nano_k0.25_t0.24_s4	yolo26s.pt	3	60	15	4	19	69609	1322571	{}	<cluster-home>	3296351
2026-09-15 22:33	t1_nano_k025_t024_s2_s_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s2	yolo26s.pt	1	60	15	2	17	108387	1842579	{}	<cluster-home>	3296352
2026-09-15 23:20	t1_nano_k025_t024_s2_s_s3	t1_rfdetr_seg_nano_k0.25_t0.24_s2	yolo26s.pt	3	60	15	3	18	108387	1950966	{}	<cluster-home>	3296354
2026-09-15 23:28	t1_nano_k025_t024_s2_s_s2	t1_rfdetr_seg_nano_k0.25_t0.24_s2	yolo26s.pt	2	60	15	3	18	108387	1950966	{}	<cluster-home>	3296353
2026-09-16 01:06	interp_gt_s1_s_s2	interp_gt_s1	yolo26s.pt	2	60	15	2	17	191613	3257421	{}	<cluster-home>	3296308
2026-09-16 01:36	interp_gt_s1_s_s3	interp_gt_s1	yolo26s.pt	3	60	15	1	16	191613	3065808	{}	<cluster-home>	3296309
2026-09-16 02:16	interp_gt_s1_s_s1	interp_gt_s1	yolo26s.pt	1	60	15	2	17	191613	3257421	{}	<cluster-home>	3296307
