timestamp	stem	imgsz	params_M	gflops	onnx_MB	onnx_path
2026-08-26 18:58	t1_nano_k025_t024_s4_n_s3_best_e24	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s3_best_e24_384.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s3_best_e3	640	9.949	22.50	38.2	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s3_best_e3_640.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s3_best_e3	512	9.949	14.40	38.1	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s3_best_e3_512.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s3_best_e3	384	9.949	8.10	38.1	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s1_best_e1	640	9.949	22.50	38.2	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s1_best_e1_640.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s1_best_e1	512	9.949	14.40	38.1	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s1_best_e1_512.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s1_best_e1	384	9.949	8.10	38.1	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s1_best_e1_384.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s2_best_e1	640	9.949	22.50	38.2	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s2_best_e1_640.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s2_best_e1	512	9.949	14.40	38.1	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s2_best_e1_512.onnx
2026-08-27 10:42	t1_nano_k025_t024_s1_s_s2_best_e1	384	9.949	8.10	38.1	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_s_s2_best_e1_384.onnx
