timestamp	variant	stem	operating_point	conf	gate	duty_fps	k	n	rip_videos	rip_alarmed_frac	latency_median_s	latency_p90_s	norip_videos	norip_alarmed_frac	norip_hours	false_alarms_per_hour	video_F2	frames_kept_frac	detector_runs_frac
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	0.5	2	3	31	0.710	0.0	4.9	40	0.100	0.28	17.59	0.733	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	0.2	1	1	31	0.677	0.0	5.0	40	0.125	0.28	28.15	0.700	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	0.2	2	3	31	0.613	0.0	8.6	40	0.125	0.28	21.11	0.642	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	5.0	1	1	31	0.742	0.0	4.4	40	0.225	0.28	35.18	0.737	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	5.0	2	3	31	0.677	0.0	9.4	40	0.175	0.28	24.63	0.691	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	1.0	1	1	31	0.710	0.0	4.8	40	0.150	0.28	21.11	0.724	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	1.0	2	3	31	0.581	0.0	2.7	40	0.100	0.28	14.07	0.616	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	0.5	1	1	31	0.645	0.0	4.0	40	0.150	0.28	21.11	0.667	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	0.5	2	3	31	0.581	0.0	4.3	40	0.075	0.28	10.56	0.621	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	0.2	1	1	31	0.613	0.0	5.0	40	0.100	0.28	17.59	0.646	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	0.50	0.2	2	3	31	0.548	0.0	9.0	40	0.075	0.28	10.56	0.590	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	5.0	1	1	31	0.903	0.0	1.5	40	0.550	0.28	102.03	0.805	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	5.0	2	3	31	0.903	0.0	3.1	40	0.450	0.28	73.89	0.824	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	1.0	1	1	31	0.871	0.0	4.3	40	0.500	0.28	77.40	0.789	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	1.0	2	3	31	0.806	0.0	3.7	40	0.350	0.28	56.29	0.767	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	0.5	1	1	31	0.839	0.0	4.7	40	0.425	0.28	66.85	0.778	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	0.5	2	3	31	0.806	0.0	9.2	40	0.300	0.28	45.74	0.776	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	0.2	1	1	31	0.806	0.0	8.0	40	0.300	0.28	56.29	0.776	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	off	0.2	2	3	31	0.710	0.0	7.5	40	0.250	0.28	38.70	0.705	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	5.0	1	1	31	0.806	0.0	3.3	40	0.225	0.28	42.22	0.791	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	5.0	2	3	31	0.806	0.0	3.5	40	0.225	0.28	35.18	0.791	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	1.0	1	1	31	0.774	0.0	4.2	40	0.225	0.28	35.18	0.764	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	1.0	2	3	31	0.677	0.0	3.3	40	0.200	0.28	31.67	0.686	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	0.5	1	1	31	0.710	0.0	3.2	40	0.225	0.28	35.18	0.710	0.105	0.048
